id,host_listings_count,latitude,longitude,accommodates,bathrooms,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm
2189522,3,41.84828,-87.68021,1,1.5,70.0,0.0,35.0,0.0,2,180,2,1125,18,324,139,12
2198953,2,41.92261,-87.71464,5,1.0,120.0,100.0,60.0,25.0,4,30,4,1125,8,66,101,16
2212823,1,41.89309,-87.65061999999998,4,2.0,249.0,0.0,0.0,0.0,2,1125,2,1125,0,22,50,0
2227179,1,41.89984000000001,-87.6764,2,1.0,100.0,0.0,30.0,0.0,5,14,5,14,25,122,46,5
2261568,1,41.91944,-87.65894,4,2.5,140.0,2000.0,100.0,10.0,365,400,365,400,0,112,2,0
2298310,18,41.80379,-87.60386,2,1.0,29.0,250.0,100.0,5.0,2,1125,2,1125,30,180,21,4
2305194,5,41.94594,-87.65431,4,11.0,96.0,0.0,0.0,0.0,1,14,1,14,22,357,51,16
2305230,5,41.94594,-87.65431,1,11.0,27.0,0.0,0.0,50.0,1,14,1,14,22,357,311,227
2320027,1,41.90669000000001,-87.68283000000002,4,1.0,105.0,500.0,30.0,25.0,2,28,2,28,0,0,158,13
2396340,22,41.89648,-87.65651,8,2.0,302.0,998.0,150.0,50.0,1,365,5,1125,27,354,349,50
2429295,3,41.86756,-87.68661999999998,2,1.0,79.0,500.0,15.0,9.0,1,1125,1,1125,30,331,51,10
2437230,2,41.94264,-87.68336,2,1.0,105.0,0.0,95.0,100.0,1,365,2,1125,22,100,80,9
2453598,81,41.8877,-87.64276,2,1.0,130.0,0.0,100.0,0.0,60,365,60,365,30,365,7,0
2458029,1,41.93501,-87.64819,1,1.0,113.0,0.0,30.0,0.0,1,1125,1,1125,0,257,14,6
2459132,0,41.96703,-87.75086999999998,8,1.0,95.0,250.0,75.0,25.0,2,1125,2,1125,28,363,67,0
2473938,2,41.85105,-87.67942,2,1.0,60.0,0.0,0.0,20.0,30,90,30,90,0,52,128,18
2479175,1,41.96293,-87.69358000000003,2,1.0,85.0,95.0,25.0,10.0,2,18,2,1125,29,144,169,26
2496594,81,41.89009,-87.62304,2,1.0,161.0,0.0,80.0,0.0,31,1124,31,1124,30,365,4,0
2499596,1,41.90006,-87.68096,5,1.5,119.0,0.0,0.0,0.0,5,90,7,90,30,90,148,15
2509508,2,41.81207,-87.60417,4,1.0,85.0,0.0,0.0,20.0,3,1125,3,1125,0,0,18,0
2510602,81,41.89076,-87.62276999999997,4,2.0,225.0,0.0,120.0,0.0,31,1125,31,1125,30,365,4,0
2512247,4,41.90143,-87.63273000000002,2,1.0,75.0,200.0,0.0,0.0,7,60,7,60,1,40,4,1
2515100,2,41.89907,-87.68085,2,1.0,55.0,95.0,10.0,10.0,2,8,2,8,0,0,192,14
2515629,3,41.88342,-87.69618,2,1.0,30.0,120.0,30.0,25.0,2,60,2,60,7,148,128,20
2519442,1,41.79599,-87.62355,2,1.5,80.0,100.0,60.0,0.0,2,30,2,1125,29,364,82,13
2543231,2,41.8579,-87.65104000000002,2,1.0,68.0,0.0,0.0,0.0,2,1125,2,1125,26,80,220,30
2552219,1,41.95163,-87.71651,9,3.0,200.0,0.0,75.0,10.0,2,1125,2,1125,5,10,3,3
2564678,4,41.85448,-87.70787,1,1.5,45.0,550.0,0.0,10.0,2,1125,2,1125,29,179,6,3
2570620,7,41.89826,-87.70336,2,1.0,45.0,100.0,40.0,10.0,1,1125,1,1125,28,249,535,84
2583929,81,41.8537,-87.62338000000003,3,1.0,129.0,0.0,100.0,0.0,60,1122,60,1122,30,365,16,0
2585378,1,41.90772,-87.68121,1,1.0,80.0,0.0,30.0,0.0,7,100,7,100,5,220,20,2
2604345,18,41.80458,-87.60508,2,1.0,27.0,250.0,100.0,5.0,1,1125,1,1125,30,365,25,5
2604454,3,41.78977,-87.58915999999998,6,1.5,165.0,0.0,30.0,25.0,1,14,1,14,0,0,104,20
